Method,Name,Error,Occurrences
GET,/tools.descartes.teastore.webui,RemoteDisconnected('Remote end closed connection without response'),3
GET,/tools.descartes.teastore.webui,"ConnectionResetError(104, 'Connection reset by peer')",3
GET,/category,"ConnectionResetError(104, 'Connection reset by peer')",356
GET,/product,"ConnectionResetError(104, 'Connection reset by peer')",56
GET,/category,HTTPError('500 Server Error:  for url: /category'),5
POST,/cartAction | add to cart,"ConnectionResetError(104, 'Connection reset by peer')",3
