Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,104,0,6,6.822151203568165,2.7702972292900085,37.35055774450302,0.0,0.22678284036807073,0.0,6,6,6,7,9,16,19,35,37,37,37
POST,/cartAction | pay,17,0,6,5.804795990971958,3.3860132098197937,8.379146456718445,0.0,0.03707027198324233,0.0,6,6,6,7,8,8,8,8,8,8,8
GET,/category,2792,368,22,3950.5776706789447,13.180769979953766,30028.015330433846,101986.97277936962,6.088247022188975,0.802462358225481,22,26,31,35,30000,30000,30000,30000,30000,30000,30000
GET,/product,758,50,33,2014.9212876300385,23.45087379217148,30007.735654711723,60700.24670184697,1.6528980096057462,0.10903021171541862,33,37,41,45,75,30000,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,102,1,20,322.56499655983026,12.035101652145386,30004.331812262535,8817.696078431372,0.22242163189945396,0.0021806042343083722,21,23,25,25,28,30,33,800,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,104,0,28,40.35645594390539,22.712312638759613,906.4313620328903,9579.0,0.22678284036807073,0.0,28,29,33,34,41,68,81,81,910,910,910
GET,/tools.descartes.teastore.webui/order,17,0,17,16.434074324720047,11.49771362543106,19.10381019115448,8905.0,0.03707027198324233,0.0,17,17,18,18,18,19,19,19,19,19,19
,Aggregated,3894,419,25,3234.5941084096016,2.7702972292900085,30028.015330433846,85466.20980996404,8.491272888396802,0.913673174175208,25,30,34,37,30000,30000,30000,30000,30000,30000,30000
