Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,34,1,6,892.1148262041456,2.915516495704651,30004.95297461748,0.0,0.0974443116886564,0.0028660091673134236,6,6,7,7,8,140,30000,30000,30000,30000,30000
POST,/cartAction | pay,6,0,5,5.27947520216306,4.217855632305145,5.912944674491882,0.0,0.01719605500388054,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/category,1256,336,28,7988.4173639628825,14.316163957118988,30017.136327922344,86351.3566878981,3.59970751414566,0.9629790802173103,28,39,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/product,314,45,39,4341.701133734292,27.52871811389923,30010.351575911045,93776.92356687898,0.899926878536415,0.12897041252910404,39,46,59,70,30000,30000,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,31,3,24,2000.80574592275,14.832109212875366,30005.452685058117,8043.225806451613,0.08884628418671613,0.00859802750194027,24,27,28,28,510,30000,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,33,0,19,48.222990875894375,12.038245797157288,814.048282802105,9579.0,0.09457830252134297,0.0,19,22,22,24,29,160,810,810,810,810,810
GET,/tools.descartes.teastore.webui/order,6,0,20,20.377873132626217,16.18257164955139,26.45116299390793,8905.0,0.01719605500388054,0.0,21,21,22,22,26,26,26,26,26,26,26
,Aggregated,1680,385,31,6839.790803650838,2.915516495704651,30017.136327922344,82453.65178571429,4.8148954010865515,1.103413529415668,31,41,120,30000,30000,30000,30000,30000,30000,30000,30000
