Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,435,0,6,6.101813826752805,1.8720775842666626,20.6947922706604,0.0,0.458661870833591,0.0,6,6,6,7,8,9,12,13,21,21,21
POST,/cartAction | pay,86,0,6,6.007119060255761,2.899080514907837,10.908126831054688,0.0,0.09067797906135362,0.0,6,6,6,7,8,9,10,11,11,11,11
GET,/category,10564,3,18,21.315331894880394,11.011026799678802,3602.140486240387,68631.21213555471,11.138629893071391,0.003163185316093731,18,20,21,22,25,30,34,39,93,3500,3600
GET,/product,3116,0,27,28.783805665962962,17.761439085006714,1341.9890031218529,56840.557124518615,3.2854951483160217,0.0,27,28,29,30,33,38,49,59,130,1300,1300
GET,/tools.descartes.teastore.webui,383,2,18,24.518602666282156,8.57090950012207,1026.7439037561417,8858.498694516971,0.403833325354633,0.002108790210729154,18,22,23,24,26,28,30,35,1000,1000,1000
GET,/tools.descartes.teastore.webui/cart,435,0,13,18.858344630263318,7.4243322014808655,1060.6379434466362,9579.0,0.458661870833591,0.0,13,14,15,16,18,21,28,52,1100,1100,1100
GET,/tools.descartes.teastore.webui/order,86,0,16,16.626425867163857,9.897783398628235,57.91644752025604,8905.0,0.09067797906135362,0.0,16,17,18,18,20,22,25,58,58,58,58
,Aggregated,15105,5,19,22.314484157987636,1.8720775842666626,3602.140486240387,60275.45852366766,15.926638066531936,0.005271975526822885,19,22,25,26,29,32,38,47,140,3500,3600
