Method,Name,Error,Occurrences
GET,/tools.descartes.teastore.webui,"ConnectionResetError(104, 'Connection reset by peer')",3
GET,/category,"ConnectionResetError(104, 'Connection reset by peer')",331
GET,/product,"ConnectionResetError(104, 'Connection reset by peer')",48
GET,/category,HTTPError('500 Server Error:  for url: /category'),3
POST,/cartAction | add to cart,"ConnectionResetError(104, 'Connection reset by peer')",1
