Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,34,1,6,887.8999385325347,2.7770400047302246,30005.052149295807,0.0,0.09745418226566761,0.0028662994784019887,6,6,6,7,7,8,30000,30000,30000,30000,30000
POST,/cartAction | pay,7,0,6,4.9352401069232394,2.8523504734039307,7.837265729904175,0.0,0.020064096348813922,0.0,6,6,6,6,8,8,8,8,8,8,8
GET,/category,1236,334,28,8072.192437271663,14.058001339435577,30013.076543807983,85659.13187702265,3.542746155304858,0.9573440257862642,28,40,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/product,303,48,43,4794.443349141886,29.0490984916687,30009.134270250797,87059.55775577558,0.8684887419558026,0.13758237496329545,43,49,61,72,30000,30000,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,34,3,26,2690.557843402905,12.646965682506561,30005.279809236526,8119.264705882353,0.09745418226566761,0.008598898435205966,26,28,29,30,760,30000,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,33,0,19,53.653728329774104,15.660129487514496,1018.2216018438339,9579.0,0.09458788278726563,0.0,19,21,24,26,30,80,1000,1000,1000,1000,1000
GET,/tools.descartes.teastore.webui/order,7,0,18,18.54937949350902,13.528741896152496,25.74845403432846,8905.0,0.020064096348813922,0.0,18,19,23,23,26,26,26,26,26,26,26
,Aggregated,1654,386,31,6985.216878606806,2.7770400047302246,30013.076543807983,80355.64087061668,4.7408593372768895,1.1063915986631676,31,43,130,30000,30000,30000,30000,30000,30000,30000,30000
