Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,424,0,6,6.847932407597326,2.609848976135254,25.96788853406906,0.0,0.44776159996671794,0.0,6,6,7,8,11,13,17,18,26,26,26
POST,/cartAction | pay,76,0,6,6.8283752587280775,3.0119940638542175,19.524909555912018,0.0,0.08025915471101548,0.0,6,6,7,7,10,14,17,20,20,20,20
GET,/category,9690,70,24,236.92388548847322,14.950454235076904,30011.936016380787,117199.90020639835,10.233042225654474,0.07392290565488267,24,27,29,31,37,43,56,160,30000,30000,30000
GET,/product,2876,15,33,192.08004795045946,23.534178733825684,30006.972640752792,110174.56606397775,3.0371753809063224,0.015840622640332,33,35,37,39,43,51,75,100,30000,30000,30000
GET,/tools.descartes.teastore.webui,354,4,22,280.32593940526755,8.301235735416412,30005.37834316492,8804.378531073446,0.37383869431183525,0.004224166037421867,22,24,25,27,30,35,42,1100,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,424,0,14,19.370932711885786,7.465444505214691,1256.7942887544632,9579.0,0.44776159996671794,0.0,14,16,18,19,24,28,48,53,1300,1300,1300
GET,/tools.descartes.teastore.webui/order,76,0,16,28.601466236930143,9.777918457984924,818.132184445858,8905.0,0.08025915471101548,0.0,16,19,20,21,24,34,52,820,820,820,820
,Aggregated,13920,89,26,212.73416074731483,2.609848976135254,30011.936016380787,104912.65165229885,14.700097810228097,0.09398769433263654,26,29,32,33,39,44,59,100,30000,30000,30000
