Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,430,0,6,5.864865454130395,2.0434707403182983,14.996558427810669,0.0,0.45318682353480594,0.0,6,6,6,6,7,8,11,12,15,15,15
POST,/cartAction | pay,76,0,6,6.097320565267613,3.7702247500419617,11.64514571428299,0.0,0.08009813625266338,0.0,6,6,7,7,8,9,10,12,12,12,12
GET,/category,10422,2,18,20.882842129707978,10.784253478050232,3348.491311073303,117732.92909230474,10.98398389506918,0.0021078456908595624,18,19,20,21,26,30,36,48,170,3200,3300
GET,/product,3120,0,27,29.83041662388505,18.016278743743896,1127.6870146393776,104217.46987179488,3.2882392777409177,0.0,27,28,29,30,36,42,57,80,310,1100,1100
GET,/tools.descartes.teastore.webui,379,2,18,24.663203152628878,7.343113422393799,1038.0833968520164,8858.007915567283,0.3994367584178871,0.0021078456908595624,18,22,23,24,26,28,33,71,1000,1000,1000
GET,/tools.descartes.teastore.webui/cart,430,0,14,18.62234883876734,8.387677371501923,1053.0100986361504,9579.0,0.45318682353480594,0.0,14,15,16,17,20,25,54,57,1100,1100,1100
GET,/tools.descartes.teastore.webui/order,76,0,16,16.803348927121412,10.461188852787018,53.46430838108063,8905.0,0.08009813625266338,0.0,16,17,17,18,20,24,27,53,53,53,53
,Aggregated,14933,4,18,22.254683423595516,2.0434707403182983,3348.491311073303,104488.31634634701,15.738229850802924,0.004215691381719125,18,22,25,26,29,33,43,56,320,3200,3300
