Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,181,0,6,5.768051257778926,2.0599886775016785,11.406868696212769,0.0,0.30744919373065444,0.0,6,6,6,6,7,8,10,11,11,11,11
POST,/cartAction | pay,31,0,6,5.903822279745532,4.671074450016022,8.33187997341156,0.0,0.05265704423011209,0.0,6,6,6,6,7,8,8,8,8,8,8
GET,/category,5037,382,19,2280.2839842916173,10.812409222126007,30011.29963248968,108701.62120309708,8.555920380228212,0.6488706740613812,19,21,24,27,39,30000,30000,30000,30000,30000,30000
GET,/product,1419,57,29,1237.349130081996,20.161233842372894,30008.611030876637,111025.18111346019,2.4103337342751305,0.09682101681020609,29,31,34,36,47,82,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,149,4,19,434.4869440533971,9.271331131458282,30005.323447287083,8665.939597315437,0.25309353517053873,0.006794457320014463,19,22,24,25,27,32,760,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,181,0,15,22.990027432283643,8.812397718429565,869.0439462661743,9579.0,0.30744919373065444,0.0,15,18,19,20,24,50,52,54,870,870,870
GET,/tools.descartes.teastore.webui/order,31,0,16,18.65889468500691,9.248398244380951,51.29241943359375,8905.0,0.05265704423011209,0.0,16,18,19,19,21,50,51,51,51,51,51
,Aggregated,7029,443,20,1893.9100946928431,2.0599886775016785,30011.29963248968,100779.0406885759,11.939560125595415,0.7524861481916018,20,25,28,30,41,30000,30000,30000,30000,30000,30000
