Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,330,2,6,188.31935001142097,2.522677183151245,30005.148358643055,0.0,0.3484064222371363,0.0021115540741644626,6,6,6,7,8,8,13,17,30000,30000,30000
POST,/cartAction | pay,60,0,6,6.587037940820058,3.0849650502204895,21.362580358982086,0.0,0.06334662222493387,0.0,6,6,7,7,8,10,11,21,21,21,21
GET,/category,8311,259,18,947.8273191989623,11.784978210926056,30008.55253636837,114735.36084707014,8.774562955190424,0.2734462526042979,18,20,22,24,33,45,30000,30000,30000,30000,30000
GET,/product,2410,51,15,651.1808794192754,8.698314428329468,30007.327280938625,64626.95975103734,2.5444226593681774,0.05384462889119379,15,16,17,18,21,27,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,298,5,20,327.01990568397827,10.097116231918335,30004.56704944372,8866.691275167785,0.3146215570505049,0.005278885185411156,20,25,26,27,30,35,74,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,328,0,11,17.571450324683653,6.172120571136475,1365.7216802239418,9666.0,0.34629486816297184,0.0,11,12,13,14,18,29,48,48,1400,1400,1400
GET,/tools.descartes.teastore.webui/order,60,0,17,40.56273065507412,9.855054318904877,1217.8469821810722,9018.0,0.06334662222493387,0.0,17,18,20,22,51,58,59,1200,1200,1200,1200
,Aggregated,11797,317,18,815.0316613107462,2.522677183151245,30008.55253636837,94572.37933372891,12.45500170645908,0.3346813207550673,18,19,21,22,30,39,30000,30000,30000,30000,30000
