Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,110,8,6,278.6856759000908,2.4437829852104187,30005.91481477022,0.0,0.32258146635536505,0.023460470280390184,6,6,6,7,7,8,10,12,30000,30000,30000
POST,/cartAction | pay,27,1,6,5.589491791195339,2.706870436668396,8.534513413906097,0.0,0.07917908719631687,0.002932558785048773,6,6,6,6,7,7,9,9,9,9,9
GET,/category,2560,338,21,2066.1672359885415,1.392178237438202,30042.75170713663,101676.980078125,7.5073504897248595,0.9912048693464853,21,23,26,28,43,30000,30000,30000,30000,30000,30000
GET,/product,745,73,31,802.5714505838868,0.89302659034729,30006.07542693615,93748.43087248322,2.184756294861336,0.21407679130856044,31,35,38,41,50,66,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,96,6,19,660.0839179785302,4.510864615440369,30004.54307347536,8348.4375,0.2815256433646822,0.01759535271029264,19,23,25,25,30,510,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,110,8,17,32.20689107071269,0.8679479360580444,829.3977230787277,8882.345454545455,0.32258146635536505,0.023460470280390184,17,18,21,23,28,54,57,650,830,830,830
GET,/tools.descartes.teastore.webui/order,27,1,16,47.95893861187829,3.493301570415497,818.614736199379,8575.185185185184,0.07917908719631687,0.002932558785048773,16,17,18,22,43,55,820,820,820,820,820
,Aggregated,3675,435,22,1628.9294968515026,0.8679479360580444,30042.75170713663,90379.77904761904,10.777153535054241,1.2756630714962163,22,27,30,32,45,30000,30000,30000,30000,30000,30000
