Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,461,0,6,5.96864306551774,2.37862765789032,30.509255826473236,0.0,0.4862496174605805,0.0,6,6,6,7,8,9,10,17,31,31,31
POST,/cartAction | pay,98,0,6,6.073905801286503,2.6851221919059753,23.206979036331177,0.0,0.10336759763804097,0.0,6,6,6,7,8,9,19,23,23,23,23
GET,/category,10351,16,19,55.83092006994623,11.950157582759857,30010.09926944971,118747.75664187035,10.91793880766696,0.016876342471516894,19,20,21,23,29,35,44,62,30000,30000,30000
GET,/product,2998,0,28,31.312199658636573,20.304039120674133,1715.822197496891,78762.32021347566,3.162204670600478,0.0,28,29,30,31,36,45,60,82,330,1700,1700
GET,/tools.descartes.teastore.webui,373,3,20,108.04178959243099,9.617112576961517,30003.69691848755,8945.469168900805,0.39342973386723756,0.0031643142134094174,20,25,27,27,30,35,52,510,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,461,0,15,22.042435317132583,8.745506405830383,1272.4903523921967,9727.0,0.4862496174605805,0.0,15,17,18,18,22,29,54,210,1300,1300,1300
GET,/tools.descartes.teastore.webui/order,98,0,17,18.0347776990764,9.268999099731445,55.59089779853821,9018.0,0.10336759763804097,0.0,17,18,19,19,22,31,54,56,56,56,56
,Aggregated,14840,19,20,49.013151877090294,2.37862765789032,30010.09926944971,99325.60889487871,15.652807642331918,0.02004065668492631,20,23,26,27,31,36,50,67,3700,30000,30000
