Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,197,1,6,158.19486544519512,2.3954734206199646,30003.78742814064,0.0,0.334196757921979,0.0016964302432587767,6,6,6,7,7,8,12,15,30000,30000,30000
POST,/cartAction | pay,24,0,6,5.676120209197204,2.797916531562805,7.430620491504669,0.0,0.04071432583821064,0.0,6,6,6,6,7,7,7,7,7,7,7
GET,/category,4870,379,19,2340.3721747013456,10.890282690525055,30033.814691007137,108200.82874743326,8.261615284670242,0.6429470621950764,19,21,24,27,42,30000,30000,30000,30000,30000,30000
GET,/product,1313,61,29,1427.431601324521,21.012522280216217,30007.5640976429,108596.79817212491,2.227412909398774,0.10348224483878538,29,31,34,37,51,240,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,165,4,21,573.7936808304353,8.82771611213684,30006.918981671333,8689.121212121212,0.27991099013769816,0.006785720973035107,21,23,23,24,26,31,810,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,196,0,16,21.899914140908084,10.055631399154663,943.4008821845055,9579.0,0.33250032767872023,0.0,16,17,18,19,23,27,49,57,940,940,940
GET,/tools.descartes.teastore.webui/order,24,0,17,20.884967719515164,11.228881776332855,54.09661680459976,8905.0,0.04071432583821064,0.0,17,18,23,24,27,52,54,54,54,54,54
,Aggregated,6789,445,20,1974.1641447114864,2.3954734206199646,30033.814691007137,99138.39166298424,11.517064921483835,0.7549114582501556,20,25,28,30,43,30000,30000,30000,30000,30000,30000
