Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,199,4,6,609.0379379802014,2.728000283241272,30006.693176925182,0.0,0.3412748568930208,0.006859796118452679,6,6,6,7,8,10,30000,30000,30000,30000,30000
POST,/cartAction | pay,46,0,6,5.951298481744269,2.475157380104065,11.268235743045807,0.0,0.07888765536220581,0.0,6,6,6,7,8,8,11,11,11,11,11
GET,/category,4822,396,19,2480.8317307832453,12.017704546451569,30032.92839974165,107848.54251347989,8.269484220794704,0.6791198157268152,19,22,24,27,44,30000,30000,30000,30000,30000,30000
GET,/product,1354,43,29,984.3839822306767,19.24586296081543,30007.70576298237,102382.67799113737,2.3220409860962317,0.0737428082733663,29,31,34,36,47,65,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,152,0,20,25.930760183224553,10.75948029756546,781.5469354391098,8905.0,0.2606722525012018,0.0,20,22,24,24,26,29,34,150,780,780,780
GET,/tools.descartes.teastore.webui/cart,195,0,15,21.751318833766838,10.926656424999237,850.7082313299179,9579.0,0.33441506077456806,0.0,15,17,18,19,24,29,55,63,850,850,850
GET,/tools.descartes.teastore.webui/order,46,0,16,16.822632726119913,9.118527173995972,27.86654233932495,8905.0,0.07888765536220581,0.0,16,17,18,19,21,24,28,28,28,28,28
,Aggregated,6814,443,20,1970.3339669784564,2.475157380104065,30032.92839974165,97197.37496331082,11.685662687784138,0.7597224201186341,20,25,28,30,43,30000,30000,30000,30000,30000,30000
