Method,Name,Error,Occurrences
GET,/tools.descartes.teastore.webui,RemoteDisconnected('Remote end closed connection without response'),6
GET,/tools.descartes.teastore.webui,"ConnectionResetError(104, 'Connection reset by peer')",2
GET,/category,"ConnectionResetError(104, 'Connection reset by peer')",248
GET,/product,"ConnectionResetError(104, 'Connection reset by peer')",51
GET,/category,HTTPError('500 Server Error:  for url: /category'),3
POST,/cartAction | add to cart,"ConnectionResetError(104, 'Connection reset by peer')",4
