Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,175,2,6,348.89445909432004,3.0823498964309692,30005.199380218983,0.0,0.29754161491814585,0.003400475599064524,6,6,7,7,8,9,11,30000,30000,30000,30000
POST,/cartAction | pay,31,0,6,5.796153458856767,3.2409504055976868,10.311469435691833,0.0,0.05270737178550012,0.0,6,6,6,6,7,9,10,10,10,10,10
GET,/category,4750,371,19,2354.0513187176302,11.58461719751358,30062.605276703835,108633.252,8.076129547778244,0.6307882236264692,19,22,25,27,41,30000,30000,30000,30000,30000,30000
GET,/product,1319,56,29,1306.3826312828553,21.43387496471405,30005.729489028454,105594.04624715693,2.2426136575830538,0.09521331677380668,29,32,34,37,47,92,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,174,10,21,898.0986718302486,9.349659085273743,30005.073979496956,8393.218390804597,0.2958413771186136,0.01700237799532262,21,23,24,25,30,510,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,173,0,16,22.752297019338332,8.274704217910767,851.4008224010468,9579.0,0.2941411393190813,0.0,16,17,19,20,23,30,55,56,850,850,850
GET,/tools.descartes.teastore.webui/order,31,0,17,54.34839643778339,11.198140680789948,799.018383026123,8905.0,0.05270737178550012,0.0,17,19,20,21,23,380,800,800,800,800,800
,Aggregated,6653,439,21,1973.2434664424982,3.0823498964309692,30062.605276703835,99004.98061025102,11.31168208028814,0.746404393994663,21,26,29,30,43,30000,30000,30000,30000,30000,30000
