Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,267,0,6,6.195277115155695,2.048105001449585,13.390026986598969,0.0,0.3772789371685047,0.0,6,6,7,7,8,9,11,13,13,13,13
POST,/cartAction | pay,61,0,6,6.8112917122293695,2.782575786113739,47.68475890159607,0.0,0.08619481336059472,0.0,6,6,7,7,9,10,14,48,48,48,48
GET,/category,6562,360,20,1654.86076535275,11.983223259449005,30041.77163541317,64865.31530021335,9.272301070036434,0.508690701800231,20,22,24,25,33,30000,30000,30000,30000,30000,30000
GET,/product,1870,51,29,850.2408744179629,20.38462460041046,30009.81229543686,55411.53582887701,2.6423655899067557,0.07206451608836607,29,31,33,35,42,58,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,243,4,20,275.3144840828676,10.03199815750122,30005.577102303505,8758.415637860082,0.34336622371515596,0.005652118908891456,20,23,24,25,27,30,510,950,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,267,0,16,21.641159520836805,7.716149091720581,1065.7381415367126,9579.0,0.3772789371685047,0.0,16,17,18,19,21,23,34,82,1100,1100,1100
GET,/tools.descartes.teastore.webui/order,61,0,17,18.716555516250796,10.072983801364899,54.807864129543304,8905.0,0.08619481336059472,0.0,17,18,19,19,20,24,54,55,55,55,55
,Aggregated,9331,415,21,1342.3039035795969,2.048105001449585,30041.77163541317,57281.62726395885,13.184980384716544,0.5864073367974886,21,25,28,29,35,69,30000,30000,30000,30000,30000
