Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,448,448,4,4.250713291444948,0.820845365524292,12.00210303068161,383.0,0.47237533534815945,0.47237533534815945,4,4,4,4,6,6,6,8,12,12,12
POST,/cartAction | pay,92,92,4,4.2343900903411535,0.9026527404785156,8.880168199539185,383.0,0.09700564922328275,0.09700564922328275,4,4,4,5,6,6,8,9,9,9,9
GET,/category,10366,10366,4,4.478409560765628,0.8225813508033752,59.322260320186615,383.0,10.930006085310316,10.930006085310316,4,4,4,5,6,7,10,11,17,54,59
GET,/product,3076,3076,4,4.394281800879924,0.834338366985321,41.90690815448761,383.0,3.243362793595845,3.243362793595845,4,4,4,4,6,6,8,9,18,42,42
GET,/tools.descartes.teastore.webui,422,422,4,4.373165280050576,1.1621862649917603,44.657155871391296,383.0,0.4449606953502752,0.4449606953502752,4,4,4,4,5,6,8,10,45,45,45
GET,/tools.descartes.teastore.webui/cart,448,448,4,3.702016830045198,0.7547140121459961,12.195982038974762,383.0,0.47237533534815945,0.47237533534815945,4,4,4,5,5,6,7,8,12,12,12
GET,/tools.descartes.teastore.webui/order,92,92,4,4.154123122925344,0.7625967264175415,31.950518488883972,383.0,0.09700564922328275,0.09700564922328275,4,4,4,5,6,7,19,32,32,32,32
,Aggregated,14944,14944,4,4.424521305181517,0.7547140121459961,59.322260320186615,383.0,15.75709154339932,15.75709154339932,4,4,4,5,6,7,9,11,19,54,59
