Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartAction | add to cart,299,4,6,407.51595062555674,2.250164747238159,30005.07616251707,0.0,0.42216542866238893,0.005647698042306206,6,6,7,7,8,10,23,30000,30000,30000,30000
POST,/cartAction | pay,60,0,6,6.542168805996577,2.8734207153320312,26.712194085121155,0.0,0.08471547063459309,0.0,6,6,7,7,8,12,20,27,27,27,27
GET,/category,6578,345,18,1580.9771269752412,10.378561913967133,30044.920213520527,111740.14062024931,9.287639430572556,0.4871139561489103,18,19,22,24,31,30000,30000,30000,30000,30000,30000
GET,/product,1902,63,27,1023.1707522177483,19.052118062973022,30008.856996893883,112195.38222923239,2.685480419116601,0.08895124416632275,27,28,30,32,41,59,30000,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui,229,5,19,416.59365903472275,7.256031036376953,30004.948876798153,8710.56768558952,0.3233307129220303,0.007059622552882758,19,22,23,24,26,28,510,30000,30000,30000,30000
GET,/tools.descartes.teastore.webui/cart,295,0,13,18.59010296352839,7.989868521690369,874.9788701534271,9579.0,0.4165177306200827,0.0,13,14,15,16,20,35,49,53,870,870,870
GET,/tools.descartes.teastore.webui/order,60,0,16,30.210160960753758,7.839269936084747,782.2370007634163,8905.0,0.08471547063459309,0.0,16,17,18,19,23,50,53,780,780,780,780
,Aggregated,9423,417,19,1334.0416798554104,2.250164747238159,30044.920213520527,101217.98652233896,13.304564663162845,0.588772520910422,19,23,26,27,33,77,30000,30000,30000,30000,30000
